"";"featurecode";"featurename";"areatypename"
"1";"S12000048";"Perth and Kinross";"Council Areas"
"2";"S12000048";"Perth and Kinross";"Council Areas"
"3";"S12000014";"Falkirk";"Council Areas"
"4";"S12000048";"Perth and Kinross";"Council Areas"
"5";"S12000014";"Falkirk";"Council Areas"
"6";"S12000048";"Perth and Kinross";"Council Areas"
"7";"S12000014";"Falkirk";"Council Areas"
"8";"S12000048";"Perth and Kinross";"Council Areas"
"9";"S12000020";"Moray";"Council Areas"
"10";"S12000017";"Highland";"Council Areas"
"11";"S12000014";"Falkirk";"Council Areas"
"12";"S12000017";"Highland";"Council Areas"
"13";"S12000047";"Fife";"Council Areas"
"14";"S12000018";"Inverclyde";"Council Areas"
"15";"S12000048";"Perth and Kinross";"Council Areas"
"16";"S12000018";"Inverclyde";"Council Areas"
"17";"S12000018";"Inverclyde";"Council Areas"
"18";"S12000047";"Fife";"Council Areas"
"19";"S12000048";"Perth and Kinross";"Council Areas"
"20";"S12000047";"Fife";"Council Areas"
"21";"S12000018";"Inverclyde";"Council Areas"
"22";"S12000047";"Fife";"Council Areas"
"23";"S12000048";"Perth and Kinross";"Council Areas"
"24";"S12000047";"Fife";"Council Areas"
"25";"S12000026";"Scottish Borders";"Council Areas"
"26";"S12000005";"Clackmannanshire";"Council Areas"
"27";"S12000008";"East Ayrshire";"Council Areas"
"28";"S12000008";"East Ayrshire";"Council Areas"
"29";"S12000005";"Clackmannanshire";"Council Areas"
"30";"S12000010";"East Lothian";"Council Areas"
"31";"S12000019";"Midlothian";"Council Areas"
"32";"S12000008";"East Ayrshire";"Council Areas"
"33";"S12000019";"Midlothian";"Council Areas"
"34";"S12000008";"East Ayrshire";"Council Areas"
"35";"S12000005";"Clackmannanshire";"Council Areas"
"36";"S12000005";"Clackmannanshire";"Council Areas"
"37";"S12000019";"Midlothian";"Council Areas"
"38";"S12000019";"Midlothian";"Council Areas"
"39";"S12000020";"Moray";"Council Areas"
"40";"S12000021";"North Ayrshire";"Council Areas"
"41";"S12000020";"Moray";"Council Areas"
"42";"S12000005";"Clackmannanshire";"Council Areas"
"43";"S12000020";"Moray";"Council Areas"
"44";"S12000019";"Midlothian";"Council Areas"
"45";"S12000005";"Clackmannanshire";"Council Areas"
"46";"S12000020";"Moray";"Council Areas"
"47";"S12000020";"Moray";"Council Areas"
"48";"S12000020";"Moray";"Council Areas"
"49";"S12000021";"North Ayrshire";"Council Areas"
"50";"S12000021";"North Ayrshire";"Council Areas"
"51";"S12000021";"North Ayrshire";"Council Areas"
"52";"S12000017";"Highland";"Council Areas"
"53";"S12000017";"Highland";"Council Areas"
"54";"S12000020";"Moray";"Council Areas"
